dish_id,dish_name,category,base_price,available_toppings,available_addons
1,Misal Pav,Dessert,289,"['Cheese', 'Tomato', 'Coriander', 'Butter', 'Dahi', 'Onion']","['Chutney', 'Papad', 'Ice Cream', 'Cold Drink']"
2,Pani Puri,Snack,55,"['Anar Seeds', 'Onion', 'Dahi']",['Chutney']
3,Veg Biryani,Drink,249,"['Cheese', 'Onion', 'Coriander', 'Dahi']","['Ice Cream', 'Papad', 'Extra Cheese', 'French Fries']"
4,Butter Naan,Main Course,53,"['Butter', 'Onion', 'Coriander']","['Chutney', 'Ice Cream', 'French Fries', 'Papad', 'Extra Cheese', 'Cold Drink']"
5,Upma,Street Food,79,"['Cheese', 'Butter', 'Tomato', 'Dahi']","['French Fries', 'Papad', 'Cold Drink', 'Chutney']"
6,Chai,Street Food,195,"['Onion', 'Butter']","['Cold Drink', 'Ice Cream', 'Papad', 'Chutney', 'Extra Cheese', 'French Fries']"
7,Chole Bhature,Main Course,83,"['Anar Seeds', 'Coriander']","['Ice Cream', 'French Fries', 'Papad', 'Chutney', 'Cold Drink', 'Extra Cheese']"
8,Vada Pav,Snack,200,"['Onion', 'Anar Seeds']","['Papad', 'Ice Cream', 'Cold Drink', 'Extra Cheese']"
9,Masala Dosa,Main Course,124,"['Onion', 'Butter', 'Anar Seeds']","['Extra Cheese', 'Chutney', 'Ice Cream', 'Papad', 'Cold Drink', 'French Fries']"
10,Jalebi,Main Course,114,"['Cheese', 'Butter', 'Anar Seeds', 'Dahi', 'Onion', 'Tomato']","['Papad', 'French Fries', 'Cold Drink', 'Extra Cheese', 'Chutney']"
11,Chai,Dessert,140,['Cheese'],['Extra Cheese']
12,Idli Sambar,Dessert,82,"['Coriander', 'Anar Seeds', 'Tomato', 'Cheese', 'Butter', 'Onion', 'Dahi']","['Extra Cheese', 'Ice Cream', 'Chutney', 'Papad']"
13,Rasgulla,Snack,149,"['Cheese', 'Coriander', 'Butter']",['Ice Cream']
14,Butter Naan,Main Course,279,"['Anar Seeds', 'Cheese', 'Tomato', 'Dahi', 'Coriander', 'Butter', 'Onion']",['French Fries']
15,Aloo Tikki,Main Course,151,"['Onion', 'Butter', 'Coriander', 'Cheese', 'Anar Seeds', 'Dahi', 'Tomato']","['Extra Cheese', 'Chutney']"
16,Poha,Street Food,282,"['Onion', 'Cheese', 'Tomato', 'Dahi', 'Coriander', 'Butter', 'Anar Seeds']","['Papad', 'French Fries', 'Chutney']"
17,Masala Dosa,Main Course,277,"['Cheese', 'Coriander', 'Butter', 'Onion', 'Anar Seeds', 'Dahi', 'Tomato']",['Papad']
18,Lassi,Dessert,100,"['Onion', 'Cheese', 'Dahi']","['Cold Drink', 'Papad', 'French Fries', 'Extra Cheese']"
19,Lassi,Snack,90,"['Tomato', 'Anar Seeds', 'Cheese', 'Onion', 'Dahi', 'Butter']",['Cold Drink']
20,Jalebi,Snack,135,"['Tomato', 'Anar Seeds', 'Butter']","['Ice Cream', 'Papad', 'French Fries', 'Extra Cheese']"
21,Lassi,Snack,106,"['Coriander', 'Onion', 'Cheese', 'Dahi', 'Tomato', 'Anar Seeds', 'Butter']","['Papad', 'French Fries']"
22,Cold Coffee,Main Course,142,"['Anar Seeds', 'Butter', 'Onion', 'Dahi', 'Cheese']","['Extra Cheese', 'Ice Cream', 'French Fries', 'Papad']"
23,Chai,Main Course,176,"['Butter', 'Cheese', 'Anar Seeds', 'Tomato', 'Dahi']","['Chutney', 'Papad', 'Cold Drink', 'Ice Cream', 'Extra Cheese', 'French Fries']"
24,Butter Naan,Main Course,145,"['Onion', 'Dahi']","['Chutney', 'Ice Cream', 'Extra Cheese', 'French Fries']"
25,Fish Fry,Drink,274,['Butter'],['Ice Cream']
26,Jalebi,Main Course,173,"['Dahi', 'Coriander', 'Tomato', 'Cheese', 'Anar Seeds']",['Extra Cheese']
27,Chicken Curry,Street Food,48,"['Butter', 'Tomato', 'Dahi', 'Cheese']","['Ice Cream', 'French Fries']"
28,Veg Biryani,Street Food,67,"['Coriander', 'Tomato', 'Anar Seeds', 'Dahi', 'Onion', 'Cheese', 'Butter']",['Cold Drink']
29,Thali,Drink,190,"['Onion', 'Coriander', 'Cheese']","['Extra Cheese', 'Ice Cream', 'Cold Drink']"
30,Masala Dosa,Drink,59,"['Anar Seeds', 'Butter', 'Dahi']","['French Fries', 'Extra Cheese']"
31,Pani Puri,Street Food,183,['Coriander'],"['Ice Cream', 'Extra Cheese', 'Chutney', 'Cold Drink', 'French Fries']"
32,Gulab Jamun,Drink,48,"['Dahi', 'Tomato', 'Coriander', 'Anar Seeds', 'Onion', 'Butter']","['Ice Cream', 'Extra Cheese']"
33,Masala Dosa,Street Food,116,"['Dahi', 'Onion']","['Ice Cream', 'French Fries', 'Papad']"
34,Gulab Jamun,Drink,284,"['Onion', 'Tomato', 'Anar Seeds', 'Dahi']","['Extra Cheese', 'Papad', 'Chutney', 'Ice Cream', 'Cold Drink']"
35,Poha,Main Course,47,"['Tomato', 'Butter', 'Coriander', 'Onion', 'Cheese']","['French Fries', 'Cold Drink', 'Ice Cream', 'Extra Cheese', 'Papad']"
36,Bhel,Drink,210,"['Dahi', 'Anar Seeds', 'Cheese', 'Coriander', 'Tomato', 'Butter', 'Onion']","['Cold Drink', 'Extra Cheese', 'Chutney', 'Ice Cream']"
37,Cold Coffee,Dessert,88,"['Tomato', 'Anar Seeds']","['Cold Drink', 'Chutney', 'Ice Cream', 'French Fries', 'Papad', 'Extra Cheese']"
38,Pani Puri,Main Course,276,"['Cheese', 'Coriander', 'Anar Seeds', 'Tomato']","['Extra Cheese', 'Papad', 'French Fries']"
39,Pani Puri,Snack,92,"['Dahi', 'Butter', 'Cheese', 'Coriander', 'Onion', 'Tomato']",['French Fries']
40,Fish Fry,Drink,273,"['Cheese', 'Coriander', 'Dahi', 'Butter', 'Tomato', 'Anar Seeds', 'Onion']",['Ice Cream']
41,Bhel,Drink,81,"['Tomato', 'Coriander']","['Cold Drink', 'Papad', 'French Fries', 'Extra Cheese']"
42,Dal Tadka,Street Food,43,"['Butter', 'Cheese', 'Tomato', 'Dahi', 'Anar Seeds', 'Onion']","['Extra Cheese', 'Papad', 'Ice Cream', 'French Fries', 'Cold Drink', 'Chutney']"
43,Jalebi,Dessert,300,"['Coriander', 'Tomato', 'Anar Seeds', 'Cheese', 'Dahi', 'Butter', 'Onion']","['Papad', 'Chutney', 'Cold Drink', 'French Fries']"
44,Cold Coffee,Street Food,128,"['Tomato', 'Coriander', 'Dahi', 'Onion']","['Extra Cheese', 'French Fries', 'Papad', 'Ice Cream']"
45,Idli Sambar,Drink,260,['Tomato'],"['Papad', 'Chutney', 'Ice Cream']"
46,Paneer Tikka,Drink,286,"['Cheese', 'Anar Seeds', 'Onion', 'Dahi']","['Extra Cheese', 'Papad', 'Chutney', 'Cold Drink', 'French Fries']"
47,Ice Cream,Street Food,203,"['Anar Seeds', 'Tomato', 'Coriander', 'Onion', 'Butter', 'Dahi', 'Cheese']","['Ice Cream', 'Extra Cheese', 'Papad', 'Cold Drink']"
48,Dal Tadka,Dessert,154,"['Onion', 'Cheese', 'Butter']",['Papad']
49,Lassi,Drink,81,"['Anar Seeds', 'Coriander', 'Cheese']","['Chutney', 'Ice Cream', 'French Fries', 'Papad', 'Extra Cheese', 'Cold Drink']"
50,Pani Puri,Drink,134,"['Dahi', 'Tomato', 'Butter', 'Coriander', 'Cheese']",['French Fries']
51,Paratha,Drink,133,"['Dahi', 'Onion', 'Butter']","['Cold Drink', 'French Fries']"
52,Jalebi,Main Course,114,"['Coriander', 'Anar Seeds', 'Dahi']","['French Fries', 'Cold Drink', 'Chutney', 'Ice Cream']"
53,Pav Bhaji,Main Course,83,['Cheese'],"['Cold Drink', 'Extra Cheese']"
54,Chole Bhature,Drink,279,"['Dahi', 'Coriander', 'Onion', 'Anar Seeds', 'Butter', 'Cheese']","['Chutney', 'Ice Cream', 'French Fries', 'Cold Drink', 'Papad']"
55,Chole Bhature,Snack,217,"['Dahi', 'Coriander', 'Onion', 'Cheese']","['French Fries', 'Ice Cream', 'Chutney', 'Cold Drink', 'Papad', 'Extra Cheese']"
56,Falooda,Snack,190,"['Tomato', 'Anar Seeds', 'Onion', 'Cheese', 'Coriander', 'Butter']","['Extra Cheese', 'Ice Cream', 'Chutney', 'Cold Drink']"
57,Samosa,Street Food,94,"['Onion', 'Coriander', 'Cheese', 'Anar Seeds']","['Cold Drink', 'Chutney', 'Ice Cream', 'Papad']"
58,Misal Pav,Drink,279,"['Butter', 'Cheese', 'Tomato', 'Coriander', 'Onion', 'Anar Seeds', 'Dahi']","['Extra Cheese', 'Papad', 'Ice Cream', 'Cold Drink']"
59,Aloo Tikki,Dessert,266,"['Anar Seeds', 'Cheese']","['Papad', 'Ice Cream', 'French Fries']"
60,Lassi,Snack,282,['Tomato'],"['French Fries', 'Chutney', 'Ice Cream', 'Cold Drink']"
61,Rasgulla,Main Course,157,['Onion'],"['Papad', 'Cold Drink', 'Chutney', 'Ice Cream']"
62,Chicken Curry,Dessert,132,"['Butter', 'Onion', 'Coriander']","['Cold Drink', 'Papad', 'Extra Cheese', 'French Fries']"
63,Ice Cream,Main Course,176,"['Butter', 'Cheese', 'Coriander', 'Dahi']","['Papad', 'Extra Cheese', 'Chutney', 'Cold Drink', 'Ice Cream']"
64,Bhel,Street Food,153,['Coriander'],"['Chutney', 'French Fries']"
65,Thali,Snack,186,"['Butter', 'Tomato', 'Onion', 'Cheese']","['Chutney', 'Extra Cheese', 'Ice Cream', 'Cold Drink', 'Papad']"
66,Dhokla,Drink,283,"['Coriander', 'Cheese', 'Onion', 'Dahi', 'Tomato']","['French Fries', 'Cold Drink', 'Ice Cream', 'Extra Cheese', 'Chutney']"
67,Idli Sambar,Street Food,128,"['Tomato', 'Onion', 'Butter', 'Coriander', 'Cheese']","['Cold Drink', 'Ice Cream', 'Papad']"
68,Fish Fry,Snack,281,"['Anar Seeds', 'Butter', 'Tomato', 'Dahi', 'Cheese']","['Ice Cream', 'Extra Cheese']"
69,Gulab Jamun,Street Food,98,"['Anar Seeds', 'Onion', 'Coriander', 'Butter', 'Dahi']","['Ice Cream', 'Chutney', 'French Fries', 'Cold Drink']"
70,Misal Pav,Snack,192,"['Dahi', 'Butter', 'Onion', 'Cheese', 'Anar Seeds', 'Tomato']","['Papad', 'Chutney']"
71,Fish Fry,Main Course,287,"['Coriander', 'Butter']",['Chutney']
72,Pav Bhaji,Dessert,271,"['Dahi', 'Onion', 'Anar Seeds', 'Cheese', 'Coriander']","['Ice Cream', 'French Fries', 'Cold Drink', 'Chutney']"
73,Misal Pav,Main Course,223,"['Cheese', 'Butter', 'Onion', 'Anar Seeds']","['French Fries', 'Chutney', 'Ice Cream', 'Cold Drink', 'Papad', 'Extra Cheese']"
74,Pav Bhaji,Street Food,247,"['Coriander', 'Tomato', 'Onion']","['Papad', 'Ice Cream', 'Chutney', 'French Fries', 'Cold Drink']"
75,Vada Pav,Snack,117,"['Coriander', 'Tomato', 'Anar Seeds', 'Butter', 'Dahi']","['Chutney', 'Papad', 'Cold Drink']"
76,Pani Puri,Drink,113,"['Butter', 'Onion', 'Tomato']","['French Fries', 'Chutney', 'Ice Cream', 'Extra Cheese']"
77,Gulab Jamun,Dessert,85,"['Cheese', 'Butter', 'Coriander']","['Cold Drink', 'Extra Cheese', 'Ice Cream', 'Chutney']"
78,Lassi,Drink,174,"['Anar Seeds', 'Butter', 'Tomato', 'Onion', 'Coriander']",['Chutney']
79,Falooda,Drink,171,"['Butter', 'Onion', 'Tomato']","['Chutney', 'Papad', 'Ice Cream']"
80,Butter Naan,Snack,161,"['Butter', 'Tomato', 'Coriander', 'Anar Seeds', 'Cheese']","['Extra Cheese', 'Cold Drink', 'French Fries', 'Papad', 'Ice Cream']"
81,Lassi,Street Food,269,"['Cheese', 'Coriander', 'Butter', 'Onion', 'Dahi', 'Anar Seeds']","['Extra Cheese', 'Ice Cream']"
82,Chole Bhature,Drink,122,['Onion'],"['Ice Cream', 'French Fries', 'Extra Cheese', 'Papad', 'Chutney', 'Cold Drink']"
83,Paratha,Dessert,173,"['Tomato', 'Anar Seeds', 'Butter', 'Onion', 'Dahi', 'Cheese', 'Coriander']","['Papad', 'Cold Drink', 'French Fries']"
84,Fish Fry,Dessert,167,['Tomato'],"['Papad', 'Cold Drink', 'French Fries', 'Ice Cream']"
85,Jalebi,Dessert,288,"['Coriander', 'Anar Seeds']","['Extra Cheese', 'Cold Drink', 'Papad', 'Chutney']"
86,Rasgulla,Street Food,205,"['Dahi', 'Anar Seeds', 'Tomato', 'Cheese', 'Coriander', 'Butter', 'Onion']","['Cold Drink', 'French Fries']"
87,Poha,Street Food,193,"['Dahi', 'Cheese', 'Anar Seeds', 'Coriander', 'Onion']","['Cold Drink', 'Papad', 'Chutney', 'Ice Cream', 'Extra Cheese']"
88,Misal Pav,Street Food,261,"['Butter', 'Coriander', 'Cheese', 'Tomato', 'Onion', 'Anar Seeds', 'Dahi']","['French Fries', 'Ice Cream', 'Chutney', 'Cold Drink', 'Extra Cheese', 'Papad']"
89,Rasgulla,Snack,257,"['Cheese', 'Coriander']","['Chutney', 'French Fries', 'Papad', 'Cold Drink', 'Extra Cheese', 'Ice Cream']"
90,Paneer Tikka,Street Food,200,"['Onion', 'Butter', 'Coriander']","['French Fries', 'Cold Drink']"
91,Idli Sambar,Snack,289,"['Cheese', 'Anar Seeds', 'Coriander', 'Butter']","['Chutney', 'Cold Drink', 'French Fries', 'Papad', 'Extra Cheese']"
92,Chai,Drink,211,"['Dahi', 'Onion', 'Anar Seeds']","['Chutney', 'Ice Cream', 'Papad']"
93,Thali,Snack,118,"['Onion', 'Anar Seeds', 'Cheese', 'Tomato', 'Coriander']","['French Fries', 'Chutney', 'Extra Cheese', 'Ice Cream', 'Cold Drink', 'Papad']"
94,Falooda,Snack,256,"['Coriander', 'Dahi', 'Onion', 'Tomato', 'Cheese']","['Papad', 'Ice Cream', 'French Fries']"
95,Vada Pav,Street Food,41,"['Coriander', 'Cheese']","['French Fries', 'Cold Drink', 'Papad']"
96,Veg Biryani,Snack,182,"['Dahi', 'Onion', 'Coriander', 'Anar Seeds']",['Extra Cheese']
97,Vada Pav,Snack,99,"['Anar Seeds', 'Onion', 'Butter']","['Ice Cream', 'Chutney', 'Papad', 'French Fries', 'Cold Drink', 'Extra Cheese']"
98,Misal Pav,Street Food,262,"['Dahi', 'Anar Seeds', 'Butter', 'Coriander', 'Cheese', 'Tomato']","['Extra Cheese', 'Papad', 'Ice Cream', 'Chutney', 'French Fries']"
99,Samosa,Main Course,172,"['Dahi', 'Tomato']","['Chutney', 'Cold Drink', 'French Fries']"
100,Bhel,Street Food,179,['Onion'],"['Papad', 'Chutney', 'Cold Drink', 'Ice Cream', 'Extra Cheese', 'French Fries']"
101,Ice Cream,Street Food,258,"['Anar Seeds', 'Butter', 'Tomato', 'Dahi', 'Cheese', 'Onion', 'Coriander']","['French Fries', 'Chutney', 'Papad']"
102,Rasgulla,Snack,104,"['Dahi', 'Tomato', 'Onion']",['Ice Cream']
103,Chole Bhature,Drink,89,"['Butter', 'Tomato', 'Anar Seeds', 'Coriander', 'Cheese', 'Dahi', 'Onion']","['Cold Drink', 'Ice Cream', 'Extra Cheese', 'French Fries', 'Chutney']"
104,Chai,Main Course,199,['Onion'],"['Ice Cream', 'Cold Drink', 'Extra Cheese', 'Chutney', 'Papad']"
105,Butter Naan,Main Course,84,"['Coriander', 'Butter', 'Anar Seeds', 'Tomato', 'Onion', 'Cheese']","['Ice Cream', 'French Fries']"
106,Jalebi,Dessert,48,['Tomato'],"['Papad', 'Extra Cheese']"
