Name Place,Rating,Reviews,City,Country,State,Weighted_Score,Weighted_Average,Rank_in_City
Heritage Park,4.2,4492,Agartala,India,Tripura,18866.4,4.19,1
Ujjayanta Palace Museum,4.5,3312,Agartala,India,Tripura,14904,4.5,2
Dimsagar Lake Park,4.1,2989,Agartala,India,Tripura,12254.9,4.19,3
Jagannath Bari,4.5,2147,Agartala,India,Tripura,9661.5,4.47,4
Rabindra Kanan,4.1,1324,Agartala,India,Tripura,5428.4,4.19,5
ISKCON Agartala,4.4,1164,Agartala,India,Tripura,5121.6,4.47,6
Fourteen Gods' and Goddesses' Temple,4.5,1061,Agartala,India,Tripura,4774.5,4.47,7
Tripura State Museum,4.5,1022,Agartala,India,Tripura,4599,4.5,8
State's Highest National Flag,4.7,720,Agartala,India,Tripura,3384,4.19,9
Taj Mahal,4.6,225222,Agra,India,Uttar Pradesh,1036021.2,4.5,1
Agra Fort,4.5,132097,Agra,India,Uttar Pradesh,594436.5,4.5,2
Gurudwara Guru Ka Taal,4.7,12675,Agra,India,Delhi,59572.5,4.69,3
Tomb of Akbar,4.4,5608,Agra,India,Uttar Pradesh,24675.2,4.5,4
Sikandra Fort,4.4,2472,Agra,India,Uttar Pradesh,10876.8,4.5,5
Taj Nature Walk,4.3,2313,Agra,India,Uttar Pradesh,9945.9,4.29,6
Amar Singh Gate,4.5,1173,Agra,India,Uttar Pradesh,5278.5,4.5,7
Taj Museum,4.4,580,Agra,India,Uttar Pradesh,2552,4.5,8
Diwan-I-Am,4.6,261,Agra,India,Uttar Pradesh,1200.6,4.5,9
The Red Taj,4.2,121,Agra,India,Uttar Pradesh,508.2,4.5,10
Shah Jahani Mahal,4.6,52,Agra,India,Uttar Pradesh,239.2,4.5,11
Law Garden,4.4,59359,Ahmedabad,India,Maharashtra,261179.6,4.35,1
Riverfront Flower Park,4.5,38630,Ahmedabad,India,Gujarat,173835,4.4,2
Teen Darwaza,4.3,35630,Ahmedabad,India,Gujarat,153209,4.35,3
Auto World Vintage Car Museum,4.4,9924,Ahmedabad,India,Gujarat,43665.6,4.35,4
Sidi Saiyyed Mosque,4.5,7727,Ahmedabad,India,Gujarat,34771.5,4.6,5
Rani no Hajiro,4.2,3618,Ahmedabad,India,Gujarat,15195.6,4.35,6
Balvatika & N. H. Museum,4.2,2980,Ahmedabad,India,Gujarat,12516,4.35,7
The Calico Museum of Textiles,4.3,1073,Ahmedabad,India,Gujarat,4613.9,4.35,8
Lalbhai Dalpatbhai Museum,4.5,776,Ahmedabad,India,Gujarat,3492,4.35,9
Kaligam Fort,4.1,428,Ahmedabad,India,Gujarat,1754.8,4.35,10
Ellora Caves,4.7,47368,Ajanta,India,Maharashtra,222629.6,4.49,1
Ajanta Caves Waterfall,4.5,309,Ajanta,India,Maharashtra,1390.5,4.35,2
Upper View Point Ajanta Caves,4.6,295,Ajanta,India,Maharashtra,1357,4.35,3
Ajanta Cave,4.7,252,Ajanta,India,Maharashtra,1184.4,4.49,4
Middle View Point ( Ajanta Caves ),4.6,108,Ajanta,India,Maharashtra,496.8,4.35,5
Ajanta Ellora Cave 27,4.8,70,Ajanta,India,Maharashtra,336,4.49,6
Maharana Pratap Smarak - Ajmer,4.5,6363,Ajmer,India,Rajasthan,28633.5,4.51,1
Taragarh Fort - Ajmer,4.3,4000,Ajmer,India,Rajasthan,17200,4.51,2
Soni Ji Ki Nasiya Jain Temple,4.5,3526,Ajmer,India,Rajasthan,15867,4.67,3
Ajmer Fort,4.3,3237,Ajmer,India,Rajasthan,13919.1,4.51,4
New Choupati Anasagar Pathway,4.5,831,Ajmer,India,Rajasthan,3739.5,4.38,5
Shree Ram Baradari,4.3,607,Ajmer,India,Rajasthan,2610.1,4.51,6
Rangji Temple,4.6,328,Ajmer,India,Rajasthan,1508.8,4.67,7
Government Museum,4.4,285,Ajmer,India,Rajasthan,1254,4.51,8
Varsoli Beach,4.3,8070,Alibaug,India,Maharashtra,34701,4.35,1
Kulaba Fort,4.2,5175,Alibaug,India,Maharashtra,21735,4.49,2
"Sree Krishna Swamy Temple, Ambalapuzha",4.8,12138,Alleppey,India,Kerala,58262.4,4.72,1
Alappuzha Beach,4.5,11073,Alleppey,India,Kerala,49828.5,4.43,2
Mullakkal Rajarajeswari Temple,4.6,3154,Alleppey,India,Kerala,14508.4,4.72,3
INTERNATIONAL COIR MUSEUM,4.3,2500,Alleppey,India,Kerala,10750,4.42,4
Revi Karunakaran Memorial Museum,4.2,1654,Alleppey,India,Kerala,6946.8,4.42,5
Mount Carmel Roman Catholic Latin Cathedral,4.6,1280,Alleppey,India,Kerala,5888,4.72,6
Kidangamparambu Sree Bhuvaneswari Temple,4.5,887,Alleppey,India,Kerala,3991.5,4.72,7
The Great Backwaters,4.5,525,Alleppey,India,Kerala,2362.5,4.43,8
Swetamber Jain Temple,4.3,384,Alleppey,India,Gujarat,1651.2,4.6,9
Chitai Golu Devta Temple,4.8,6210,Almora,India,Uttarakhand,29808,4.64,1
Kasar Devi Temple Almora,4.8,4034,Almora,India,Uttarakhand,19363.2,4.64,2
Katarmal Sun Temple,4.7,1163,Almora,India,Uttarakhand,5466.1,4.64,3
Syahi Devi Temple,4.6,207,Almora,India,Uttarakhand,952.2,4.64,4
Khagmara Temple,4.2,95,Almora,India,Uttarakhand,399,4.64,5
Shri Amarnath Cave Temple,4.5,10424,Amarnath,India,Jammu And Kashmir,46908,4.68,1
Sri Harmandir Sahib,4.9,194743,Ambarsar,India,Punjab,954240.7,4.9,1
"The Partition Museum - Amritsar District, Punjab, India",4.6,17119,Ambarsar,India,Punjab,78747.4,4.51,2
Gobindgarh Fort,4.3,14572,Ambarsar,India,Punjab,62659.6,4.51,3
"Shri Durgiana Temple, Amritsar",4.7,5974,Ambarsar,India,Goa,28077.8,4.54,4
Gurudwara Chheharta Sahib,4.9,4000,Ambarsar,India,Punjab,19600,4.9,5
Iskcon Temple,4.6,419,Ambarsar,India,Punjab,1927.4,4.9,6
Central Sikh Museum,4.7,403,Ambarsar,India,Punjab,1894.1,4.51,7
"Saragarhi Memorial Gurudwara - Amritsar, Punjab, India",4.7,296,Ambarsar,India,Punjab,1391.2,4.9,8
Shri Dukh Bhanjani Beri Sahib,4.8,250,Ambarsar,India,Punjab,1200,4.9,9
Mahamaya Temple,4.6,1402,Ambikapur,India,Chhattisgarh,6449.2,4.49,1
Oxygen Park,4.1,756,Ambikapur,India,Chhattisgarh,3099.6,4.21,2
Sanitary Park,4.2,433,Ambikapur,India,Chhattisgarh,1818.6,4.21,3
Sri Harmandir Sahib,4.9,194276,Amritsar,India,Punjab,951952.4,4.9,1
"The Partition Museum - Amritsar District, Punjab, India",4.6,16605,Amritsar,India,Punjab,76383,4.51,2
Gobindgarh Fort,4.3,14460,Amritsar,India,Punjab,62178,4.51,3
"Shri Durgiana Temple, Amritsar",4.7,5771,Amritsar,India,Goa,27123.7,4.54,4
Gurudwara Chheharta Sahib,4.9,3937,Amritsar,India,Punjab,19291.3,4.9,5
Rose Garden,4.3,3594,Amritsar,India,Punjab,15454.2,4.36,6
Mata Lal Devi Mandir,4.7,2642,Amritsar,India,Punjab,12417.4,4.9,7
Akal Takht Sahib,4.8,1233,Amritsar,India,Punjab,5918.4,4.9,8
Jallianwala Bagh Museum,4.6,524,Amritsar,India,Punjab,2410.4,4.51,9
Maharaja Ranjit Singh Garden,4.5,480,Amritsar,India,Punjab,2160,4.36,10
Iskcon Temple,4.6,411,Amritsar,India,Punjab,1890.6,4.9,11
Central Sikh Museum,4.7,397,Amritsar,India,Punjab,1865.9,4.51,12
Jalianwala Bag Centenary Memorial,4.7,317,Amritsar,India,Punjab,1489.9,4.36,13
Shri Dukh Bhanjani Beri Sahib,4.8,247,Amritsar,India,Punjab,1185.6,4.9,14
Varenium Park,4.2,214,Amritsar,India,Punjab,898.8,4.36,15
Sita Ram Mandir,4.5,128,Amritsar,India,Punjab,576,4.9,16
Chatiwind canal,4.5,105,Amritsar,India,Punjab,472.5,4.36,17
Virasat-e-Khalsa,4.7,16691,Anandpur,India,Punjab,78447.7,4.51,1
Takhat Sri Kesgarh Sahib,4.9,10525,Anandpur,India,Punjab,51572.5,4.9,2
Sri Guru Teg Bahadur Sikh Museum,4.7,156,Anandpur,India,Punjab,733.2,4.51,3
Corbyn's Cove Beach,4.2,11051,Andaman,India,Andaman And Nicobar Islands,46414.2,4.27,1
Marina Park,4.4,7403,Andaman,India,Andaman And Nicobar Islands,32573.2,4.27,2
Naval Marine Museum Samudrika,4.3,4158,Andaman,India,Andaman And Nicobar Islands,17879.4,4.29,3
Gandhi Park,4.1,2012,Andaman,India,Andaman And Nicobar Islands,8249.2,4.27,4
Mount Manipur National Park,4.5,1062,Andaman,India,Manipur,4779,4.5,5
Mahatma Gandhi Marine National Park,4.5,691,Andaman,India,Andaman And Nicobar Islands,3109.5,4.27,6
Forest Museum,4.2,419,Andaman,India,Andaman And Nicobar Islands,1759.8,4.29,7
"Sri Vetrimalai Murugan Temple, rii verrrrimlai muruknnn tirukkoovil",4.6,230,Andaman,India,Andaman And Nicobar Islands,1058,4.6,8
Veer Savarkar Park,4.5,151,Andaman,India,Andaman And Nicobar Islands,679.5,4.27,9
View Point for North Bay,4.7,81,Andaman,India,Andaman And Nicobar Islands,380.7,4.27,10
Valley of Flowers National Park,4.7,3460,Auli,India,Uttarakhand,16262,4.34,1
"Shri Narsingh Temple, Joshimath",4.8,2068,Auli,India,Uttarakhand,9926.4,4.64,2
Bibi Ka Maqbara,4.2,38007,Aurangabad,India,Maharashtra,159629.4,4.49,1
Himayatbagh Biodiversity Heritage site,4.3,4728,Aurangabad,India,Maharashtra,20330.4,4.35,2
Delhi Gate,4.4,3662,Aurangabad,India,Delhi,16112.8,4.51,3
Makai Gate,4.1,3748,Aurangabad,India,Maharashtra,15366.8,4.49,4
Soneri Mahal,4.2,2521,Aurangabad,India,Maharashtra,10588.2,4.49,5
