order_id,user_id,dish_name,toppings_selected,addons_selected,season,order_date,quantity,total_price,profit_margin
1,,Pani Puri,[],['Chutney'],Diwali,2023-12-04,1,139,39.08
2,1024.0,Chole Bhature,['Tomato'],['Extra Cheese'],Christmas,2023-02-24,3,405,95.95
3,1046.0,Idli Sambar,"['Tomato', 'Cheese']",['French Fries'],Christmas,2023-09-11,4,480,100.68
4,1028.0,Bhel,['Onion'],['Ice Cream'],Christmas,2023-08-26,3,417,142.3
5,1053.0,Bhel,"['Onion', 'Butter', 'Tomato']",[],Summer,2023-05-10,1,131,48.29
6,1013.0,Bhel,"['Tomato', 'Anar Seeds']",['Ice Cream'],Navratri,2024-01-22,2,264,77.45
7,1046.0,Pav Bhaji,[],[],Holi,2023-05-03,5,510,112.49
8,1060.0,Idli Sambar,['Tomato'],['Extra Cheese'],Winter,2023-10-26,1,143,49.24
9,,Chole Bhature,['Tomato'],['Papad'],Diwali,2024-01-23,5,715,239.45
10,1079.0,Sev Puri,"['Onion', 'Anar Seeds', 'Butter']","['Cold Drink', 'French Fries']",Christmas,2024-04-22,3,459,119.87
11,1034.0,Pani Puri,"['Coriander', 'Onion']","['Ice Cream', 'French Fries']",Rainy,2024-07-15,2,418,152.92
12,1010.0,Vada Pav,"['Cheese', 'Anar Seeds']",[],Rainy,2023-08-09,3,399,89.76
13,1090.0,Masala Dosa,"['Tomato', 'Cheese', 'Dahi']",['Chutney'],Rainy,2023-11-07,1,198,48.51
14,1073.0,Chole Bhature,['Cheese'],[],Winter,2023-08-14,1,82,31.79
15,1010.0,Pav Bhaji,['Cheese'],[],Winter,2023-06-05,2,176,62.31
16,1000.0,Sev Puri,['Tomato'],['Cold Drink'],Winter,2023-01-11,5,420,157.79
17,,Chole Bhature,['Cheese'],[],Navratri,2024-02-26,5,530,127.02
18,1094.0,Vada Pav,"['Dahi', 'Cheese']","['Cold Drink', 'Chutney']",Summer,2023-02-27,3,600,147.95
19,,Sev Puri,[],"['Ice Cream', 'Papad']",Summer,2023-08-29,5,530,210.84
20,1080.0,Bhel,['Onion'],[],Diwali,2024-06-10,2,168,61.19
21,1028.0,Idli Sambar,"['Tomato', 'Butter']","['Cold Drink', 'Chutney']",Diwali,2023-07-20,4,808,266.57
22,1086.0,Pav Bhaji,"['Dahi', 'Tomato']","['Papad', 'Extra Cheese']",Christmas,2024-06-27,5,670,187.59
23,1031.0,Pani Puri,"['Coriander', 'Butter']",[],Christmas,2024-07-02,4,456,118.08
24,1069.0,Chole Bhature,[],"['Cold Drink', 'Chutney']",Rainy,2023-01-10,3,303,81.87
25,1034.0,Pav Bhaji,"['Tomato', 'Butter', 'Anar Seeds']",[],Winter,2024-07-18,2,218,51.17
26,1073.0,Pani Puri,['Onion'],"['Papad', 'Cold Drink']",Holi,2023-04-17,3,495,189.59
27,1058.0,Bhel,"['Coriander', 'Dahi']",['Ice Cream'],Navratri,2024-03-21,1,135,32.84
28,1007.0,Vada Pav,"['Butter', 'Cheese']",[],Diwali,2023-06-27,3,321,84.63
