DishName
Paneer Butter Masala
Chole Bhature
Biryani
Masala Dosa
Samosa
Aloo Gobi
Rogan Josh
Dal Makhani
Tandoori Chicken
Pani Puri
Idli
Vada Pav
Pav Bhaji
Rajma Chawal
Malai Kofta
Butter Naan
Kadai Paneer
Bhindi Masala
Chicken Tikka
Gulab Jamun
Naan
Lassi
Fish Curry
Vegetable Pulao
Matar Paneer
Dhokla
Sev Puri
Momos
Keema Naan
Chicken Korma
Paneer Tikka
Gajar Halwa
Aloo Tikki
Veg Hakka Noodles
Chilli Chicken
Rava Idli
Bengali Rasgulla
Kachori
Chicken Biryani
Egg Curry
Methi Malai Paneer
Papdi Chaat
Pesarattu
Sabudana Khichdi
Aloo Paratha
Chicken 65
Fish Fry
Paneer Pakora
Mutton Curry
Veg Sandwich
Tandoori Roti
Vegetable Soup
Chana Masala
Lemon Rice
Poha
Chicken Shawarma
Malabar Parotta
Paneer Bhurji
Corn Chaat
Butter Chicken
Tomato Soup
Veg Biryani
Chicken Manchurian
Rasgulla
Kheer
Sambhar
Chicken Seekh Kebab
Mutton Biryani
Veg Cutlet
Rajma Masala
Chicken Pakora
Aloo Chaat
Paneer Lababdar
Veg Frankie
Cabbage Sabzi
Fish Curry Rice
Mutton Rogan Josh
Mushroom Masala
Veg Spring Roll
Paneer Kofta
Chicken Malai Tikka
Dahi Vada
Veg Pulao
Chicken Tandoori
Vegetable Pakora
Paneer Chili
Mutton Korma
Idiyappam
Chicken Curry
Veg Fried Rice
Palak Paneer
Dal Tadka
Chicken Vindaloo
Mix Veg Curry
Aloo Mutter
Prawn Curry
Vegetable Korma
Egg Biryani
Chicken Sukka
Veg Manchurian
Paneer Makhani
Bhatura
Chicken 65 Dry
Rasam
Paneer Do Pyaza
Mutton Kebab
Chicken Kathi Roll
Veg Cutlet Sandwich
Veg Burger
Chicken Burger
Mutton Seekh Kebab
Veg Pizza
Paneer Pizza
Chicken Pizza
Chicken Frankie
Mutton Frankie
Aloo Pakora
Chana Jor Garam
Pesarattu Upma
Vangi Bath
Undhiyu
Khandvi
Patra
Misal Pav
Bhel Puri
Sev Tameta
Dal Baati Churma
Laal Maas
Sarson Ka Saag
Makki Ki Roti
Batata Vada
Kathi Roll
Chicken Lollipop
Mutton Seekh Roll
Paneer Malai Tikka
Veg Kolhapuri
Chicken Kolhapuri
Vegetable Pakoda
Moong Dal Halwa
Balushahi
Rabri
Churma Ladoo
Petha
Sandesh
Rasmalai
Chenna Poda
Kofta Curry
Mutton Nihari
Chicken Curry Mumbai Style
Prawn Masala
Crab Curry
Fish Fry Kerala Style
Vegetable Biryani Hyderabadi
Chicken Biryani Lucknowi
Paneer Pasanda
Veg Korma Mughlai
Dal Fry
Chili Paneer
Gobi Manchurian
Veg Hakka Noodles Schezwan
Chicken Schezwan
Honey Chilli Potato
Dish 165
Dish 166
Dish 167
Dish 168
Dish 169
Dish 170
Dish 171
Dish 172
Dish 173
Dish 174
Dish 175
Dish 176
Dish 177
Dish 178
Dish 179
Dish 180
Dish 181
Dish 182
Dish 183
Dish 184
Dish 185
Dish 186
Dish 187
Dish 188
Dish 189
Dish 190
Dish 191
Dish 192
Dish 193
Dish 194
Dish 195
Dish 196
Dish 197
Dish 198
Dish 199
Dish 200
